iter	Passed	Remaining
0	1	103
1	2	107
2	3	101
3	3	91
4	4	88
5	5	86
6	6	90
7	7	88
8	8	85
9	9	83
10	11	90
11	12	89
12	13	93
13	14	92
14	16	90
15	16	88
16	17	86
17	18	84
18	19	82
19	20	80
20	20	78
21	22	78
22	22	76
23	23	74
24	24	73
25	27	77
26	29	78
27	30	77
28	30	75
29	31	73
30	32	72
31	33	70
32	33	68
33	34	67
34	35	66
35	36	65
36	37	63
37	38	62
38	38	60
39	39	59
40	42	61
41	43	60
42	44	59
43	45	58
44	46	57
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	59	47
56	61	46
57	62	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	68	36
65	68	35
66	69	34
67	72	33
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	79	26
75	81	25
76	81	24
77	82	23
78	83	22
79	84	21
80	88	20
81	89	19
82	91	18
83	91	17
84	93	16
85	94	15
86	94	14
87	95	13
88	96	11
89	97	10
90	97	9
91	98	8
92	99	7
93	100	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	108	0
