iter	Passed	Remaining
0	325	325036
1	326	163042
2	328	109038
3	329	81963
4	333	66374
5	338	56096
6	340	48234
7	341	42312
8	342	37726
9	343	34031
10	348	31304
11	349	28748
12	350	26616
13	352	24803
14	353	23241
15	355	21853
16	356	20635
17	358	19533
18	362	18707
19	363	17812
20	364	16995
21	365	16247
22	366	15564
23	367	14944
24	368	14369
25	369	13837
26	370	13345
27	371	12892
28	372	12464
29	373	12067
30	375	11738
31	378	11441
32	379	11109
33	379	10795
34	380	10500
35	381	10227
36	382	9964
37	383	9712
38	384	9475
39	385	9249
40	386	9033
41	387	8828
42	387	8633
43	390	8482
44	392	8320
45	392	8150
46	393	7986
47	394	7831
48	395	7680
49	396	7534
50	397	7395
51	398	7260
52	399	7131
53	399	7006
54	400	6887
55	401	6773
56	402	6660
57	405	6584
58	406	6480
59	407	6379
60	408	6288
61	410	6215
62	412	6128
63	413	6043
64	414	5961
65	415	5881
66	416	5803
67	420	5768
68	422	5695
69	423	5625
70	424	5556
71	425	5489
72	427	5424
73	428	5360
74	429	5302
75	431	5241
76	432	5181
77	441	5220
78	442	5163
79	444	5107
80	445	5052
81	446	4997
82	446	4937
83	448	4886
84	452	4871
85	454	4828
86	455	4780
87	456	4732
88	457	4687
89	459	4643
90	460	4600
91	461	4559
92	463	4517
93	466	4498
94	467	4456
95	469	4418
96	470	4379
97	471	4340
98	472	4300
99	473	4262
100	474	4224
101	475	4189
102	476	4153
103	481	4150
104	483	4119
105	484	4084
106	485	4051
107	486	4019
108	487	3989
109	489	3957
110	490	3925
111	491	3895
112	493	3869
113	494	3841
114	495	3815
115	497	3787
116	497	3757
117	499	3735
118	501	3710
119	502	3684
120	504	3665
121	505	3639
122	509	3635
123	511	3609
124	512	3585
125	513	3560
126	514	3534
127	515	3510
128	516	3487
129	517	3465
130	519	3443
131	520	3423
132	524	3420
133	526	3399
134	527	3379
135	529	3362
136	531	3347
137	539	3367
138	540	3349
139	541	3329
140	543	3308
141	543	3285
142	544	3265
143	546	3246
144	547	3227
145	549	3211
146	550	3192
147	551	3174
148	555	3173
149	556	3155
150	558	3138
151	559	3121
152	560	3104
153	562	3087
154	563	3070
155	564	3054
156	566	3041
157	572	3049
158	573	3034
159	578	3036
160	587	3062
161	588	3046
162	590	3030
163	591	3014
164	592	2999
165	594	2987
166	595	2972
167	597	2956
168	598	2941
169	602	2941
170	603	2926
171	605	2912
172	606	2900
173	607	2885
174	609	2871
175	610	2858
176	611	2844
177	613	2832
178	617	2832
179	618	2817
180	619	2803
181	620	2789
182	623	2785
183	624	2770
184	625	2755
185	626	2741
186	627	2726
187	628	2712
188	629	2699
189	631	2692
190	633	2683
191	634	2670
192	635	2657
193	636	2645
194	638	2633
195	638	2621
196	639	2607
197	640	2594
198	641	2581
199	642	2568
200	642	2555
201	643	2542
202	644	2530
203	648	2531
204	650	2520
205	651	2511
206	652	2500
207	653	2488
208	654	2477
209	655	2466
210	656	2455
211	657	2444
212	658	2433
213	661	2428
214	662	2419
215	663	2409
216	665	2400
217	666	2390
218	667	2381
219	668	2371
220	669	2360
221	671	2351
222	671	2341
223	672	2330
224	673	2320
